tanggal,hari,agenda
23-07-2012,Selasa ,Hari Anak Nasional
"Aug 8, 2012",Kamis,Hari Raya Idul Fitri
"Sep 8, 2012",Jumat,Hari Raya Idul Fitri
17-08-2012,Sabtu,Hari Kemerdekaan Republik Indonesia
"Feb 10, 2012",Rabu,Hari Batik
15-10-2012,Selasa ,Hari Raya Idul Adha
27-10-2012,Minggu,Hari Blogger Nasional
28-10-2012,Senin ,Hari Sumpah Pemuda
"May 11, 2012",Selasa ,Tahun Baru Hijriah/ Muharram
"Oct 11, 2012",Minggu,Hari Pahlawan
25-11-2012,Senin ,Hari Guru
"Jan 12, 2012",Minggu,Hari Aids Sedunia
"Oct 12, 2012",Selasa ,Hari Hak Asasi Manusia
22-12-2012,Minggu,Hari Ibu
25-12-2012,Rabu,Hari Raya Natal